id_num,picture_num,dob,doa,race,gender,facial_hair,age,age_diff,glasses,photo
323236,1,08/09/1983,10/29/2006,W,M,,23,82.0,,Album2/323236_01M23.JPG
350814,0,11/15/1970,10/15/2007,W,F,,36,,,Album2/350814_00F36.JPG
98759,3,02/19/1965,10/15/2006,B,M,,41,41.0,,Album2/098759_03M41.JPG
246732,2,09/21/1982,10/19/2007,W,M,,25,198.0,,Album2/246732_02M25.JPG
301092,2,02/27/1987,03/29/2007,B,M,,20,274.0,,Album2/301092_02M20.JPG
322857,0,10/10/1964,12/07/2005,B,F,,41,,,Album2/322857_00F41.JPG
317356,1,04/29/1989,04/10/2006,B,F,,16,269.0,,Album2/317356_01F16.JPG
58464,3,04/23/1959,06/20/2005,B,M,,46,418.0,,Album2/058464_3M46.JPG
341248,1,07/31/1960,07/28/2007,B,M,,46,148.0,,Album2/341248_01M46.JPG
272455,2,12/29/1985,05/13/2007,B,M,,21,44.0,,Album2/272455_02M21.JPG
132658,0,10/28/1967,07/04/2006,B,M,,38,,,Album2/132658_00M38.JPG
271505,3,04/05/1982,02/21/2007,B,M,,24,71.0,,Album2/271505_03M24.JPG
132638,6,10/22/1969,01/19/2005,B,M,,35,197.0,,Album2/132638_6M35.JPG
195674,1,05/27/1975,10/16/2005,B,F,,30,115.0,,Album2/195674_01F30.JPG
91169,0,02/19/1945,11/20/2003,W,M,,58,,,Album2/091169_0M58.JPG
320629,4,08/19/1987,12/30/2007,B,M,,20,86.0,,Album2/320629_04M20.JPG
346792,1,10/13/1964,08/06/2007,O,F,,42,26.0,,Album2/346792_01F42.JPG
203620,2,05/07/1973,12/13/2006,B,M,,33,217.0,,Album2/203620_02M33.JPG
209044,2,08/10/1978,12/24/2006,B,M,,28,281.0,,Album2/209044_02M28.JPG
327546,1,03/30/1990,01/10/2007,B,M,,16,275.0,,Album2/327546_01M16.JPG
63829,0,02/11/1962,08/16/2003,B,M,,41,,,Album2/063829_0M41.JPG
58649,1,08/08/1960,12/15/2003,B,M,,43,29.0,,Album2/058649_1M43.JPG
34052,0,02/26/1949,02/24/2004,B,M,,54,,,Album2/034052_0M54.JPG
342500,2,11/11/1975,05/30/2007,B,M,,31,13.0,,Album2/342500_02M31.JPG
297274,0,12/08/1986,09/21/2005,W,M,,18,,,Album2/297274_00M18.JPG
256379,0,09/13/1976,06/12/2006,B,F,,29,,,Album2/256379_00F29.JPG
349000,2,10/08/1989,11/28/2007,B,M,,18,53.0,,Album2/349000_02M18.JPG
113838,11,04/06/1971,02/06/2006,B,M,,34,145.0,,Album2/113838_11M34.JPG
313153,2,08/13/1978,08/06/2007,B,M,,28,372.0,,Album2/313153_02M28.JPG
